title,price
"FINAL FANTASY VII REMAKE INTERGRADE (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese)","Rp 579,000"
"Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Included
"Back 4 Blood: Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 809,000"
DRAGON BALL FighterZ (English),"Rp 136,000"
"Devil May Cry 5 Special Edition (English, Japanese)","Rp 553,000"
"Immortals Fenyx Rising - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Untitled Goose Game (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
FINAL FANTASY TYPE-0 HD (Chinese/Korean Ver.),"Rp 339,000"
"NEO: The World Ends with You (English, Japanese)","Rp 879,000"
"Devil May Cry 5 (English, Japanese)",Included
"Tom Clancy's Rainbow Six Siege (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Included
LittleBigPlanet™ 3 PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
I Am Setsuna (English Ver.),"Rp 488,000"
"JETT: The Far Shore + Given Time (English, Japanese)","Rp 429,000"
KINGDOM HEARTS HD -1.5+2.5 ReMIX- (English Ver.),"Rp 569,000"
KINGDOM HEARTS HD 2.8 FINAL CHAPTER PROLOGUE (English),"Rp 699,000"
KINGDOM HEARTS III (Chinese/Korean Ver.),"Rp 724,000"
Erica (English),"Rp 70,000"
"DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (Simplified Chinese, Korean, Traditional Chinese)","Rp 579,000"
Tom Clancy's The Division® 2 (English/Chinese/Korean/Japanese Ver.),"Rp 103,500"
Wolfenstein® II: The New Colossus™ (English/Chinese Ver.),"Rp 532,000"
"Tchia (PS4 & PS5) (Simplified Chinese, English, Korean, Japanese)","Rp 278,850"
The Evil Within 2 (English/Chinese/Korean Ver.),"Rp 532,000"
Dishonored®: Death of the Outsider™ (English/Chinese Ver.),"Rp 370,000"
Wolfenstein: Youngblood (English/Chinese/Korean Ver.),"Rp 279,000"
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 287,430"
"Rune Factory 4 Special (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"STORY OF SEASONS: Friends of Mineral Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 321,000"
